familia,modelo,MAE,RMSE,MAPE_%
F1,Naive,608.88,839.28,17.96
F1,MA(4),688.67,1019.75,18.14
F1,SES,632.93,948.4,16.91
F1,Holt,709.09,1068.6,18.56
F1,Winters,556.54,816.39,15.03
F1,ETS,709.09,1068.6,18.56
F1,ARIMA,611.61,909.24,16.67
F2,Naive,143.29,190.37,58.79
F2,MA(4),135.62,183.3,59.7
F2,SES,131.63,179.1,61.07
F2,Holt,132.06,179.67,60.87
F2,Winters,131.63,179.1,61.07
F2,ETS,132.06,179.67,60.87
F2,ARIMA,131.56,179.01,60.86
F3,Naive,624.04,745.92,14.33
F3,MA(4),1273.04,1354.18,29.47
F3,SES,967.38,1051.21,22.4
F3,Holt,2149.43,2322.16,49.57
F3,Winters,401.6,502.71,9.21
F3,ETS,2149.43,2322.16,49.57
F3,ARIMA,947.02,1029.76,21.91
F4,Naive,283.5,414.12,26.39
F4,MA(4),280.5,410.64,26.17
F4,SES,289.2,420.91,26.82
F4,Holt,485.67,639.16,46.73
F4,Winters,279.38,405.05,26.24
F4,ETS,485.67,639.16,46.73
F4,ARIMA,294.02,426.91,27.16
F5,Naive,432.75,487.0,155.91
F5,MA(4),268.67,318.2,102.52
F5,SES,220.05,267.48,82.37
F5,Holt,229.26,276.92,86.72
F5,Winters,224.64,271.57,84.36
F5,ETS,229.26,276.92,86.72
F5,ARIMA,227.46,273.79,85.78
